Salary,NBA_Country,Age,Tm,MP,PER,TS%,3PAr,FTr,STL%,BLK%,USG%
13760000,USA,32,CLE,2152,8.5,0.534,0.645,0.098,1.5,0.4,13.8
23000000,USA,33,PHI,2021,15.6,0.612,0.524,0.244,0.8,0.2,21.5
3903900,Puerto Rico,33,DAL,1603,17.8,0.545,0.454,0.148,1.1,0.2,24.9
1312611,Croatia,20,LAL,336,15.6,0.567,0,0.446,0.9,2.7,17.9
950000,USA,20,MEM,401,15.6,0.599,0,0.22,1,1.6,17.9
6000000,USA,29,DET,1966,15,0.517,0.115,0.151,1.5,0.9,20.7
1312611,USA,22,BRK,180,11.6,0.53,0.209,0.221,2.2,0.8,28.4
6261395,USA,28,TOT,862,12.6,0.508,0.447,0.311,0.8,0.3,28.8
1312611,USA,23,ATL,1086,11.2,0.499,0.195,0.379,1.4,0.8,19.7
1069308,USA,26,TOT,422,13.5,0.539,0.482,0.372,1.8,0.2,18.9
10337079,USA,27,CLE,276,6.4,0.48,0.448,0.259,1.6,1.2,13
950000,USA,19,IND,28,23.2,0.558,0,0.667,1.8,9.5,21.8
16661641,France,31,WAS,1096,12.9,0.614,0.008,0.523,1.7,3.2,15.6
1577230,USA,26,NOP,1398,9.1,0.525,0.391,0.124,1.1,0.6,17.3
1780800,USA,21,DET,242,7.7,0.422,0.389,0.148,0.6,0,23.6
23775506,USA,28,MIA,1303,24.1,0.578,0.004,0.33,1.4,5.8,24.4
23112004,USA,25,DAL,2561,16,0.542,0.272,0.262,1,0.5,25.2
2247480,France,22,BOS,182,10.5,0.543,0.689,0.378,0.6,0.9,15.6
